workload,size,implementation,status,replicates,median_ms,p25_ms,p75_ms,min_ms,max_ms,mad_ms,container_init_median_ms,user_build_total_median_ms,peak_rss_median_bytes,speedup_vs_baseline
bess_96,30,pyoptinterface_python,ok,7,20.438,20.1988,20.7413,19.9337,21.505,0.239205,0.03205,20.4701,143638528,1.01445
bess_96,30,roml_core_rust,ok,7,8.37009,8.33347,8.43881,7.85113,8.95857,0.03662,0.00018,8.37027,14704640,1
bess_96,30,roml_python_bulk,ok,7,20.147,19.8599,20.4621,19.4817,20.5922,0.287115,0.0008,20.1478,153120768,1
bess_96,30,roml_python_scalar,ok,7,64.0753,62.9316,66.3351,61.3937,67.1372,1.55887,0.00075,64.0761,151818240,7.65528
bess_96,100,pulp_python,ok,7,171.177,168.578,175.136,167.658,175.359,2.59861,0.00173,171.178,168820736,1.73418
bess_96,100,pyomo_python,ok,7,68.8336,68.6865,74.6118,66.8966,75.5202,1.00106,0.019151,68.8527,161783808,0.697347
bess_96,100,pyoptinterface_python,ok,7,67.7543,66.8448,68.8733,66.8427,69.6428,0.909466,0.032981,67.7873,154337280,0.686413
bess_96,100,roml_core_rust,ok,7,32.1598,30.8871,32.8724,30.748,35.8578,0.712643,0.00018,32.16,44314624,1
bess_96,100,roml_python_bulk,ok,7,98.7078,98.2045,104.067,96.8062,104.993,1.90159,0.00076,98.7085,189644800,1
bess_96,100,roml_python_scalar,ok,7,568.956,565.127,585.866,564.654,586.065,4.30267,0.00072,568.957,189399040,17.6915
bess_96,300,pulp_python,ok,7,475.285,469.527,476.966,468.129,492.754,3.44779,0.00175,475.287,231059456,0.784513
bess_96,300,pyomo_python,ok,7,357.49,338.945,367.239,336.294,376.98,9.74899,0.020281,357.51,213102592,0.590079
bess_96,300,pyoptinterface_python,ok,7,215.626,207.415,217.202,205.724,218.394,2.7678,0.033851,215.66,180936704,0.355916
bess_96,300,roml_core_rust,ok,7,115.486,113.513,118.228,110.506,119.823,2.52974,0.00017,115.486,135483392,1
bess_96,300,roml_python_bulk,ok,7,605.835,596.651,609.601,596.344,610.69,3.7663,0.0009,605.836,302120960,1
bess_96,300,roml_python_scalar,ok,7,4807.92,4734.45,4873.63,4710.63,4918.62,65.7137,0.00099,4807.92,300326912,41.6321
sparse_rows,1000,pulp_python,ok,7,1.36756,1.34413,1.38199,1.33336,1.38739,0.01443,0.0017,1.36926,138039296,1.17859
sparse_rows,1000,pyomo_python,ok,7,0.898815,0.893836,0.913946,0.881625,0.955127,0.014691,0.020271,0.919086,137863168,0.774613
sparse_rows,1000,pyoptinterface_python,ok,7,1.40491,1.38314,1.41077,1.38231,1.43956,0.01935,0.03335,1.43826,139284480,1.21077
sparse_rows,1000,roml_core_rust,ok,7,0.689252,0.674331,0.708662,0.668182,0.749653,0.014921,0.00016,0.689412,3936256,1
sparse_rows,1000,roml_python_bulk,ok,7,1.16034,1.12236,1.1778,1.10851,1.18768,0.027342,0.00074,1.16108,139182080,1
sparse_rows,1000,roml_python_scalar,ok,7,3.8725,3.86193,3.89766,3.80328,3.94223,0.01694,0.0007,3.8732,139186176,5.61841
sparse_rows,3000,pulp_python,ok,7,3.96041,3.93655,3.99523,3.9206,5.02037,0.023861,0.00166,3.96207,139350016,1.3614
sparse_rows,3000,pyomo_python,ok,7,3.09783,3.08195,3.28772,3.06785,3.42021,0.015881,0.01951,3.11734,138547200,1.06488
sparse_rows,3000,pyoptinterface_python,ok,7,3.95007,3.9192,3.97831,3.89768,4.03468,0.02824,0.03346,3.98353,140066816,1.35784
sparse_rows,3000,roml_core_rust,ok,7,1.96387,1.93322,1.98408,1.92644,2.09829,0.021329,0.00017,1.96404,5898240,1
sparse_rows,3000,roml_python_bulk,ok,7,2.90908,2.88578,2.96204,2.86914,3.05699,0.0233,0.00078,2.90986,141561856,1
sparse_rows,3000,roml_python_scalar,ok,7,25.7509,25.7494,26.5132,25.6988,26.7708,0.052121,0.00072,25.7516,141488128,13.1123
sparse_rows,10000,pulp_python,ok,7,14.4206,14.2477,14.6022,14.0838,14.8994,0.172953,0.00177,14.4224,142045184,1.46506
sparse_rows,10000,pyomo_python,ok,7,7.53581,7.50292,7.57676,7.24303,7.59877,0.03289,0.020291,7.5561,140603392,0.7656
sparse_rows,10000,pyoptinterface_python,ok,7,12.9509,12.8589,13.134,12.7897,13.18,0.121133,0.032601,12.9835,143138816,1.31574
sparse_rows,10000,roml_core_rust,ok,7,6.76104,6.64921,6.89751,6.45701,7.32443,0.111832,0.00018,6.76122,13279232,1
sparse_rows,10000,roml_python_bulk,ok,7,9.84301,9.69113,10.2011,9.6713,12.014,0.156404,0.00078,9.84379,151158784,1
sparse_rows,10000,roml_python_scalar,ok,7,264.747,261.928,269.815,258.768,272.14,2.81837,0.0007,264.747,150810624,39.1577
sparse_rows,30000,pulp_python,ok,7,43.0872,42.1176,43.8275,41.5946,44.0519,0.740253,0.00182,43.089,153780224,1.26018
sparse_rows,30000,pyomo_python,ok,7,20.1472,19.9171,20.5435,19.7851,20.7263,0.230104,0.01982,20.167,147791872,0.589247
sparse_rows,30000,pyoptinterface_python,ok,7,39.6104,39.5135,39.8189,39.0239,40.7128,0.104731,0.033401,39.6438,152072192,1.15849
sparse_rows,30000,roml_core_rust,ok,7,23.2308,22.7188,28.4498,22.3948,28.6237,0.835985,0.00017,23.2309,37814272,1
sparse_rows,30000,roml_python_bulk,ok,7,34.1914,32.012,35.7735,31.8276,35.9385,1.5821,0.00087,34.1922,180527104,1
sparse_rows,30000,roml_python_scalar,ok,7,2416.23,2400.27,2462.08,2381.83,2495.92,15.9642,0.00073,2416.23,179720192,104.01
sparse_rows,100000,pulp_python,ok,7,171.301,169.531,173.372,167.348,179.48,1.77063,0.00175,171.303,198090752,1.47532
sparse_rows,100000,pyomo_python,ok,7,89.0028,86.8219,92.7577,86.0907,93.4328,2.18091,0.01931,89.0221,175194112,0.76653
sparse_rows,100000,pyoptinterface_python,ok,7,135.622,133.968,140.782,133.359,141.993,1.65423,0.03225,135.654,177598464,1.16803
sparse_rows,100000,roml_core_rust,ok,7,91.917,90.0056,93.4805,87.8897,95.5984,1.56347,0.00017,91.9172,102494208,1
sparse_rows,100000,roml_python_bulk,ok,7,116.111,113.912,118.925,112.949,124.397,2.46363,0.00077,116.112,262148096,1
sparse_rows,100000,roml_python_scalar,ok,7,32224.9,32210.2,32583.5,32085.3,32682.6,18.0484,0.00074,32224.9,260313088,350.587
sparse_rows,300000,pulp_python,ok,7,535.566,533.169,547.937,526.781,551.369,2.39702,0.00178,535.567,305963008,1.27764
sparse_rows,300000,pyomo_python,ok,7,263.072,259.12,264.768,258.262,267.754,1.78745,0.019711,263.091,235573248,0.627581
sparse_rows,300000,pyoptinterface_python,ok,7,446.773,432.342,456.407,431.022,458.991,12.2183,0.033411,446.806,258355200,1.06582
sparse_rows,300000,roml_core_rust,ok,7,326.726,313.978,341.385,313.044,344.045,13.3276,0.00016,326.726,324083712,1
sparse_rows,300000,roml_python_bulk,ok,7,419.184,416.069,440.356,414.96,450.28,4.22361,0.00084,419.185,517914624,1
sparse_rows,300000,roml_python_scalar,timeout,,,,,,,,,,,
sparse_rows,1000000,pulp_python,ok,7,1983.11,1951.16,2015.73,1948.45,2020.78,31.9443,0.001761,1983.11,728330240,1.16777
sparse_rows,1000000,pyomo_python,ok,7,1053.13,1036.82,1066.95,1036.61,1068.24,13.8194,0.01995,1053.15,487145472,0.620142
sparse_rows,1000000,pyoptinterface_python,ok,7,1653.86,1608.92,1684.62,1591.9,1691.82,37.963,0.032371,1653.89,550907904,0.973889
sparse_rows,1000000,roml_core_rust,ok,7,1301.75,1224.28,1333.94,1212.48,1343.1,41.3544,0.00016,1301.75,1099591680,1
sparse_rows,1000000,roml_python_bulk,ok,7,1698.2,1673.18,1766.37,1668.46,1783.72,29.7396,0.00086,1698.2,1484898304,1
